id,artwork_name,cafe_location,material,dimensions,price_eur,price_tl,category,artist,status,image_url,description
1,AKHILLEUS (AŞİL),Sol Duvar,"Mermer, Taş, Cam",72*40,500,25000,Mozaik,ALAN Art Studio,active,,
2,ANTİK KADIN FİGÜRÜ,Sol Duvar,"Doğal taş, Taş",39*39,120,6000,Mozaik,ALAN Art Studio,active,,
3,NİKE 1,Sol Duvar,"Mermer, Kum",36*30,150,7500,Mozaik,ALAN Art Studio,active,,Bodrum kumu ile mermer mozaik.
4,NİKE 2,Sol Duvar,"Mermer, Kum",50*40,150,7500,Mozaik,ALAN Art Studio,active,,Bodrum kumu ile mermer mozaik.
5,NİKE 3,Sol Duvar,"Mermer, Kum",50*41,200,10000,Mozaik,ALAN Art Studio,active,,Bodrum kumu ile mermer mozaik.
6,MOZAİK ÜZÜM,Sol Duvar,Mermer,42*30,100,5000,Mozaik,ALAN Art Studio,active,,
7,KEM GÖZ MOZAİĞİ 1,Sol Duvar,Doğal Malzeme,40*30,150,7500,Mozaik,ALAN Art Studio,active,,“Kaicy” MS.2.YY Antik dönemin bir nevi nazar boncuğu.
8,KEM GÖZ MOZAİĞİ 2,Sol Duvar,Doğal Malzeme,30*20,60,3000,Mozaik,ALAN Art Studio,active,,“Kaicy” MS.2.YY Antik dönemin bir nevi nazar boncuğu.
9,POSEİDON MIZRAĞI VE EROS YUNUSU,Sol Duvar,Mermer,42*20,100,5000,Mozaik,ALAN Art Studio,active,,
10,YE-İÇ-EĞLEN-MUTLU OL-HAYATINI YAŞA,Sol Duvar,Taş,,0,0,Mozaik,ALAN Art Studio,active,,
11,THALEİA (THALİA),Sol Duvar,"Doğal taş, Taş, Cam",34*40,130,6500,Mozaik,ALAN Art Studio,active,,
12,ÇİNGENE KIZ 1,Sol Duvar,Taş,40*30,100,5000,Mozaik,ALAN Art Studio,active,,Taş mozaik.
13,ÇİNGENE KIZ 2,Sol Duvar,Taş,30*20,50,2500,Mozaik,ALAN Art Studio,active,,Taş mozaik.
14,ÖLÜM MOZAİĞİ,Sol Duvar,Doğal Malzeme,36*30,150,7500,Mozaik,ALAN Art Studio,active,,
15,HAYAT AĞACI 1,Sol Duvar,"Doğal taş, Taştan, Taş",Çapı 40,240,12000,Mozaik,ALAN Art Studio,active,,Doğal taştan mozaik.
16,HAYAT AĞACI 2,Sol Duvar,"Doğal taş, Taştan, Taş",Çapı 28,140,7000,Mozaik,ALAN Art Studio,active,,Doğal taştan mozaik.
17,HAYAT AĞACI 3,Sol Duvar,"Doğal taş, Taştan, Taş",Çapı 32,100,5000,Mozaik,ALAN Art Studio,active,,Doğal taştan mozaik.
18,OKEANOS DENİZ TANRISI,Sol Duvar,"Taştan, Taş",1000*60,1300,65000,Mozaik,ALAN Art Studio,active,,
19,OKEANOS VE TETHYS,Sol Duvar,"Doğal taş, Taştan, Taş",89*64,0,65000,Mozaik,ALAN Art Studio,active,,
20,ANTİK SAVAŞÇI,Sol Duvar,Mermer,27 cm,0,2500,Mozaik,ALAN Art Studio,active,,
21,BÜYÜK ZEYTİN DALI,Sol Duvar,Mermer,78*30,0,7500,Mozaik,ALAN Art Studio,active,,
22,MERYEM VE OĞLU İSA,Sol Duvar,"Taştan, Taş",78*68,1000,50000,Mozaik,ALAN Art Studio,active,,
23,İSA SON NEFES,Sol Duvar,Cam,37*40,200,10000,Mozaik,ALAN Art Studio,active,,
24,ZEYTİN DALI ÜÇLEMESİ 1,Sol Duvar,"Taştan, Taş",42*30,100,5000,Mozaik,ALAN Art Studio,active,,Taştan mozaik çalışması.
25,ZEYTİN DALI ÜÇLEMESİ 2,Sol Duvar,"Taştan, Taş",30*21,60,3000,Mozaik,ALAN Art Studio,active,,Taştan mozaik çalışması.
26,MEDUSA 1,Sol Duvar,Mermer,80 cm çap,1200,60000,Mozaik,ALAN Art Studio,active,,Mermerden mozaik
27,MEDUSA 2,Sol Duvar,Mermer,25 cm çap,120,6000,Mozaik,ALAN Art Studio,active,,Mermerden mozaik
28,KUŞLAR,Sol Duvar,Suluboya,25*25,75,4000,Mozaik,ALAN Art Studio,active,,
29,KARTAL,Sol Duvar,"Cam, Vitray",23*32,100,5000,Mozaik,ALAN Art Studio,active,,
30,AFGAN KIZI,Sol Duvar,"Doğal taş, Taştan, Taş",30*40,150,7500,Mozaik,ALAN Art Studio,active,,
31,"SAĞLIK, YAŞAM, NEŞE, HUZUR, KEYİF, UMUT MOZAİĞİ",Sol Duvar,"Doğal taş, Taştan, Taş",92*95,1300,65000,Mozaik,ALAN Art Studio,active,,
32,TRAGEDYA MASKESİ,"Bar Altı, Yer, Sokak","Taştan, Taş",65*53,800,40000,Mozaik,ALAN Art Studio,active,,
